Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Name
1	Spectrogram 1	1	1.706867624	1.825892517	855.7	11116.6	fem_resp
2	Spectrogram 1	1	18.195794257	20.455668650	1119.0	5923.9	PB_trill
3	Spectrogram 1	1	57.314753824	57.440103433	1119.0	13690.7	fem_resp
4	Spectrogram 1	1	78.153087351	80.495334345	329.1	5858.1	PB_trill
5	Spectrogram 1	1	111.364919319	111.490268928	1119.0	10992.1	fem_resp
6	Spectrogram 1	1	138.265174662	140.618165908	460.7	5529.0	PB_trill
7	Spectrogram 1	1	177.328058032	177.467733311	1382.2	11123.7	fem_resp
8	Spectrogram 1	1	198.170752256	200.570301929	329.1	6450.4	PB_trill
9	Spectrogram 1	1	229.165328341	229.279933699	987.3	13559.1	fem_resp
10	Spectrogram 1	1	258.366758293	260.637376938	789.9	6911.2	PB_trill
11	Spectrogram 1	1	285.058265665	285.165708188	921.5	11650.3	fem_resp
12	Spectrogram 1	1	318.383397129	320.704155618	658.2	6121.3	PB_trill
13	Spectrogram 1	1	363.580585075	363.695190433	855.7	10333.9	fem_resp
14	Spectrogram 1	1	378.442498940	380.705954750	855.7	5331.5	PB_trill
